연번,항목명,코드값,데이터변수명,코드값 설명
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
33.0,가구 이용 가능  정보통신 서비스_8),1,Q4_8,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
34.0,가구 이용 가능  정보통신 서비스_9998,1,Q4_9998,일반 집전화
,,2,,"인터넷 전화(VoIP) (LG U+ 070, KT 올레 인터넷전화,SK 브로드밴드 B인터넷전화)"
,,3,,이동전화(스마트폰 포함)
,,4,,"유선 인터넷 (KT 올레 인터넷, SK 브로드밴드 인터넷, LG U+ 인터넷, LG 헬로비전 인터넷 등)"
,,5,,"IPTV (KT 올레 TV, SK 브로드밴드 BTV, LG U+ tvG 등)"
,,6,,"케이블TV(유선방송) (LG 헬로비전, SK브로드밴드, 딜라이브, CMB, 현대HCN 등)"
,,7,,위성방송 (KT 스카이라이프)
,,8,,"IoT서비스 (CCTV, 조명, 가스, 냉·난방 등 원격 제어 기능 이용, LG IoT@Home, SKT SMART HOME, KT GIGA IoT 등)"
,,9998,,해당 사항 없음
35.0,가구 월 평균 소득,1,Q5,100만원 미만
,,2,,100-200만원 미만
,,3,,200-300만원 미만
,,4,,300-400만원 미만
,,5,,400-500만원 미만
,,6,,500-600만원 미만
,,7,,600-700만원 미만
,,8,,700-800만원 미만
,,9,,800-900만원 미만
,,10,,"900-1,000만원 미만"
,,11,,"1,000만원 이상"
36.0,가중치_가구,-,WT1,-
37.0,가구주 연령,1,D_AGE,20대 이하
,,2,,30대
,,3,,40대
,,4,,50대
,,5,,60대 이상
38.0,가구소득,1,D_INC,200만원 미만
,,2,,200~300만원 미만
,,3,,300~400만원 미만
,,4,,400~500만원 미만
,,5,,500만원 이상
39.0,지역규모,1,D_AREA1,동부
,,2,,읍면부
40.0,지역(시도),1,SIDO1,서울
,,2,,부산
,,3,,대구
,,4,,인천
,,5,,광주
,,6,,대전
,,7,,울산
,,8,,경기
,,9,,강원
,,10,,충청
,,14,,전라
,,17,,경상
,,20,,제주
41.0,지역(시도)_세부,1,SIDO2,서울
,,2,,부산
,,3,,대구
,,4,,인천
,,5,,광주
,,6,,대전
,,7,,울산
,,8,,경기
,,9,,강원
,,11,,(충북)
,,12,,(충남)
,,13,,(세종)
,,15,,(전북)
,,16,,(전남)
,,18,,(경북)
,,19,,(경남)
,,20,,제주
